anxiety_level,self_esteem,living_conditions,basic_needs,academic_performance,study_load,teacher_student_relationship,future_career_concerns,social_support,peer_pressure,extracurricular_activities,bullying,stress_level
9,17,3,2,2,3,3,3,3,3,3,3,1
7,25,4,4,4,2,4,1,3,1,1,1,0
10,20,4,3,1,4,2,0,0,0,1,3,0
17,11,2,1,1,4,1,5,1,5,4,4,2
11,21,2,3,2,2,2,2,3,3,3,3,1
19,14,2,2,1,5,2,4,1,5,4,4,2
18,11,2,2,2,4,2,5,1,5,4,4,2
21,2,1,1,2,3,1,5,1,4,4,4,2
19,14,1,1,1,5,2,4,1,5,5,4,2
6,30,4,4,4,1,4,1,3,2,2,1,0
16,4,1,2,2,5,1,5,1,4,4,4,2
6,27,4,5,5,1,5,1,3,1,2,1,0
7,27,3,4,5,2,4,1,3,2,1,1,0
17,23,4,2,1,3,3,5,0,3,1,1,2
12,21,3,3,3,3,3,2,2,3,3,2,1
5,30,3,4,5,2,4,1,3,1,1,1,0
11,20,2,2,3,2,3,3,2,2,3,2,1
11,15,2,3,2,2,3,2,3,2,3,3,1
8,29,3,5,4,1,5,1,3,2,1,1,0
12,17,2,2,3,2,2,3,2,3,2,3,1
7,26,3,5,4,2,4,1,3,1,2,1,0
10,24,2,3,2,3,3,2,2,3,3,3,1
14,30,4,3,5,0,0,4,1,2,3,0,0
4,28,4,4,5,1,4,1,3,1,2,1,0
8,26,3,5,4,2,5,1,3,1,2,1,0
15,11,2,1,1,3,2,4,1,4,4,5,2
16,13,0,5,2,4,0,1,1,0,0,2,0
0,30,4,5,5,2,4,1,3,2,1,1,0
9,18,3,2,3,2,2,2,2,3,2,3,1
14,16,2,2,2,3,3,2,2,2,3,2,1
16,10,2,1,1,4,1,4,1,4,5,5,2
19,14,2,2,2,5,1,4,1,4,4,4,2
9,19,3,2,3,2,3,3,3,3,3,3,1
10,24,2,2,2,2,2,3,3,3,3,2,1
2,25,4,5,4,1,5,1,3,2,2,1,0
17,3,2,1,2,4,2,4,1,4,4,4,2
8,30,4,5,4,2,4,1,3,1,2,1,0
13,25,2,3,2,3,2,2,3,3,3,3,1
13,22,3,3,2,2,2,3,2,2,3,2,1
5,8,5,5,2,2,3,3,1,1,5,1,2
19,0,2,1,1,4,2,4,1,4,5,4,2
5,25,4,4,4,1,4,1,3,2,1,1,0
18,26,4,5,2,1,0,5,0,1,1,5,0
10,20,2,2,3,3,2,3,3,3,3,3,1
6,29,3,5,4,1,5,1,3,1,1,1,0
7,11,0,1,2,2,4,2,0,3,1,3,0
13,23,3,2,3,3,2,2,3,3,2,2,1
4,28,4,5,5,1,5,1,3,2,1,1,0
20,14,2,2,2,4,2,5,1,5,5,5,2
0,25,4,5,4,1,4,1,3,2,1,1,0
7,25,3,5,5,1,4,1,3,1,1,1,0
1,24,5,2,4,5,1,2,1,0,1,0,0
0,25,3,4,4,1,4,1,3,2,2,1,0
12,24,2,2,2,2,3,2,2,3,2,2,1
7,29,3,4,4,1,5,1,3,2,1,1,0
20,1,2,1,1,3,1,4,1,4,4,4,2
1,26,4,4,5,2,4,1,3,1,1,1,0
5,1,0,0,1,0,0,3,1,2,4,0,2
14,15,3,2,3,3,2,2,3,2,3,2,1
19,2,1,2,1,3,1,5,1,5,5,4,2
5,15,5,1,1,1,4,3,1,2,5,5,2
19,15,2,2,2,5,1,4,1,4,5,5,2
11,18,3,3,2,3,2,2,3,2,3,2,1
9,22,3,2,3,2,3,2,3,3,2,3,1
19,6,1,2,2,4,1,5,1,5,5,4,2
4,11,3,1,2,5,1,3,1,5,0,2,1
11,18,3,2,3,2,2,3,3,2,3,3,1
7,25,4,4,4,2,5,1,3,1,1,1,0
5,25,4,4,4,2,4,1,3,2,1,1,0
20,5,1,2,2,4,1,4,1,5,5,5,2
21,7,1,1,2,4,2,4,1,4,5,5,2
13,17,3,2,2,3,3,2,3,2,3,3,1
0,27,3,5,5,2,4,1,3,1,1,1,0
2,29,3,5,5,1,5,1,3,1,2,1,0
19,27,4,0,0,2,2,2,1,5,0,3,2
2,15,0,0,2,0,0,0,1,3,0,5,0
12,22,2,3,3,3,3,3,3,2,2,3,1
2,27,4,5,5,2,4,1,3,1,1,1,0
9,16,3,3,3,3,2,2,2,3,2,3,1
9,25,2,3,2,2,2,2,2,2,3,3,1
13,22,3,2,2,2,2,3,3,2,2,2,1
1,29,3,4,5,2,5,1,3,1,2,1,0
1,30,3,5,5,1,5,1,3,1,2,1,0
11,25,2,2,3,3,3,3,3,2,2,2,1
20,15,2,2,1,5,1,4,1,5,5,4,2
11,19,2,3,3,3,3,2,2,3,3,3,1
9,23,3,3,2,2,3,2,2,2,2,2,1
14,19,3,3,2,3,3,3,3,3,2,3,1
13,17,2,2,2,3,3,3,2,2,3,3,1
4,29,3,4,5,1,5,1,3,2,2,1,0
11,24,3,2,2,2,2,2,3,3,3,2,1
12,17,3,3,2,2,3,2,3,3,2,2,1
2,30,3,5,4,2,5,1,3,2,1,1,0
13,15,2,2,3,3,2,2,3,3,2,2,1
10,22,3,3,2,2,3,2,2,2,2,2,1
10,22,2,2,2,2,3,2,2,2,2,3,1
0,26,3,4,5,1,5,1,3,1,1,1,0
10,25,3,3,2,3,2,3,2,2,2,3,1
3,28,4,4,4,2,4,1,3,2,2,1,0
19,13,1,1,1,3,2,5,1,4,4,4,2
4,30,4,1,2,0,4,5,0,5,0,2,0
15,6,1,2,1,4,1,5,1,5,5,5,2
11,5,1,0,2,4,1,1,1,3,4,4,1
20,2,2,2,1,3,1,5,1,4,4,4,2
10,24,3,2,2,2,2,2,2,2,2,3,1
6,29,3,0,2,5,2,0,1,4,0,2,1
0,26,3,4,5,1,5,1,3,2,1,1,0
10,21,2,3,2,3,3,2,3,3,3,3,1
5,30,3,4,4,1,4,1,3,1,1,1,0
21,7,2,1,2,3,1,4,1,5,4,4,2
17,10,1,1,1,5,1,5,1,5,5,5,2
5,30,4,5,5,2,5,1,3,1,1,1,0
18,10,1,2,2,4,1,4,1,4,4,4,2
9,16,2,3,2,2,3,3,3,2,2,2,1
2,27,4,5,4,2,4,1,3,2,2,1,0
3,26,4,5,4,2,4,1,3,1,1,1,0
6,16,0,5,5,4,4,1,1,2,4,0,0
9,29,0,0,1,4,0,0,1,5,2,5,1
7,25,3,4,4,2,4,1,3,2,2,1,0
6,30,4,4,5,1,5,1,3,2,1,1,0
8,25,4,4,4,1,4,1,3,1,2,1,0
8,28,3,5,4,1,5,1,3,1,1,1,0
1,27,4,5,5,1,5,1,3,1,2,1,0
13,17,2,3,2,2,2,2,2,3,2,2,1
21,8,2,2,1,3,1,4,1,4,5,4,2
2,25,4,4,5,1,5,1,3,2,1,1,0
9,16,2,2,3,2,2,3,2,2,3,2,1
11,23,3,2,3,2,3,2,3,2,2,3,1
10,20,3,2,2,2,2,2,3,3,3,3,1
21,11,2,1,2,3,1,5,1,5,4,5,2
17,13,1,2,1,3,2,4,1,4,4,5,2
0,25,4,5,5,2,4,1,3,2,2,1,0
6,26,3,5,5,2,4,1,3,1,1,1,0
10,15,3,3,2,3,3,3,2,2,3,3,1
10,18,3,3,2,2,3,2,2,2,2,2,1
7,25,3,5,5,2,5,1,3,1,2,1,0
12,17,3,0,0,5,1,5,1,0,0,4,0
1,11,1,5,2,4,1,1,1,4,3,4,0
10,18,3,2,3,3,3,3,3,3,2,3,1
8,26,4,5,5,2,4,1,3,1,2,1,0
7,26,3,4,5,2,4,1,3,1,1,1,0
14,24,2,2,3,2,2,2,3,3,2,3,1
14,17,2,2,3,3,2,3,2,3,2,3,1
2,6,5,5,1,5,2,4,1,5,4,1,2
9,21,2,3,3,3,2,3,3,3,3,2,1
21,11,1,1,2,5,1,4,1,4,5,5,2
1,20,4,3,4,3,3,1,1,5,2,1,0
11,23,2,2,3,3,2,3,3,3,3,2,1
15,0,2,1,1,4,2,4,1,4,4,4,2
7,26,3,5,5,1,4,1,3,2,1,1,0
14,15,3,2,2,3,2,3,2,3,3,2,1
7,25,4,5,4,2,5,1,3,1,1,1,0
11,15,3,3,2,2,2,3,3,2,3,2,1
4,27,4,4,4,2,5,1,3,1,2,1,0
16,9,1,1,1,3,1,5,1,5,4,4,2
21,8,1,2,1,5,2,5,1,4,4,5,2
3,26,3,5,4,1,5,1,3,2,1,1,0
16,11,1,2,2,3,2,5,1,4,5,4,2
0,27,3,0,0,3,3,5,0,5,4,5,2
12,1,1,0,5,1,0,4,0,5,1,3,2
6,21,1,1,4,4,1,5,1,0,1,1,1
7,27,4,4,4,1,5,1,3,1,1,1,0
8,25,3,4,5,1,4,1,3,2,2,1,0
0,25,3,5,5,2,4,1,3,2,1,1,0
13,21,3,2,3,2,3,3,3,2,3,3,1
1,30,3,4,4,2,4,1,3,2,1,1,0
18,8,1,1,2,3,2,4,1,4,4,5,2
15,13,1,1,2,4,1,4,1,5,4,4,2
19,1,1,1,1,5,2,5,1,5,4,5,2
2,29,4,4,5,1,4,1,3,1,2,1,0
7,27,4,4,5,1,5,1,3,1,1,1,0
10,21,3,2,2,2,3,2,2,2,3,2,1
8,30,3,5,5,1,4,1,3,2,1,1,0
7,27,4,5,5,2,5,1,3,1,1,1,0
18,7,1,1,1,4,1,4,1,4,5,5,2
1,27,4,5,5,1,5,1,3,2,2,1,0
21,7,1,1,1,3,1,4,1,4,4,5,2
20,11,2,1,2,4,2,4,1,4,5,4,2
7,2,1,3,2,2,3,2,0,5,2,4,2
15,1,1,2,2,5,2,5,1,5,4,5,2
9,25,2,2,3,2,2,3,3,3,3,3,1
19,15,2,2,2,5,1,5,1,4,5,5,2
17,0,1,1,2,5,1,5,1,4,4,4,2
1,2,4,0,4,1,0,4,1,3,5,1,2
19,0,2,2,2,5,1,5,1,5,4,5,2
21,0,1,2,1,4,2,5,1,5,4,5,2
12,24,2,3,2,2,3,2,3,2,3,3,1
13,19,3,3,2,3,3,2,2,2,3,3,1
16,9,2,1,2,5,2,4,1,5,4,4,2
20,3,1,1,1,3,1,5,1,5,5,5,2
17,14,2,2,2,4,1,4,1,4,5,4,2
1,29,3,5,4,2,4,1,3,1,2,1,0
12,17,2,3,2,3,3,3,3,3,3,2,1
13,15,2,2,3,3,3,2,2,3,3,3,1
15,6,2,2,2,3,1,5,1,4,4,4,2
19,8,2,2,1,5,2,5,1,5,5,5,2
18,8,1,2,1,5,2,5,1,5,5,4,2
3,28,3,5,5,2,4,1,3,1,2,1,0
4,26,3,5,4,1,4,1,3,1,2,1,0
3,30,3,4,4,2,5,1,3,2,1,1,0
18,13,2,2,1,4,2,5,1,4,5,4,2
9,15,2,2,2,3,2,3,2,3,2,3,1
14,20,2,2,2,3,2,2,3,2,3,3,1
0,27,4,5,5,2,5,1,3,1,2,1,0
18,9,1,2,2,4,1,5,1,5,4,5,2
15,0,2,2,2,5,2,5,1,4,5,4,2
21,6,2,2,1,5,2,5,1,4,4,4,2
10,19,2,2,3,3,2,2,3,3,3,3,1
14,22,2,3,3,2,2,2,2,2,3,3,1
6,29,3,4,5,1,5,1,3,2,1,1,0
12,28,2,5,4,0,0,2,0,3,5,2,1
21,20,2,2,3,4,3,1,1,0,4,3,2
3,30,4,4,4,1,4,1,3,2,2,1,0
3,21,5,4,3,4,3,4,1,4,4,3,0
12,16,2,3,2,2,3,2,3,3,3,3,1
21,12,1,2,2,4,2,4,1,5,4,4,2
10,17,2,3,2,2,3,2,3,2,2,2,1
6,27,3,4,4,1,5,1,3,2,2,1,0
16,15,2,5,3,1,1,1,1,5,2,2,2
6,5,1,5,4,2,0,4,0,5,3,5,0
18,24,5,4,2,0,0,3,1,3,2,3,1
2,27,4,4,5,2,4,1,3,2,2,1,0
21,3,1,2,2,3,2,4,1,4,4,4,2
19,14,2,2,2,3,1,5,1,4,5,5,2
12,25,2,2,2,3,2,2,3,3,3,2,1
17,6,1,1,2,4,2,5,1,5,4,4,2
3,25,4,4,4,2,4,1,3,1,2,1,0
10,20,3,3,3,3,2,2,2,2,2,3,1
5,29,3,5,5,2,4,1,3,2,1,1,0
11,17,2,3,3,3,2,3,2,2,2,2,1
20,0,2,2,2,4,1,4,1,5,5,5,2
13,18,3,3,2,2,3,2,3,2,2,2,1
13,25,2,2,2,2,3,2,2,3,3,2,1
9,17,2,3,3,3,3,3,3,3,3,3,1
2,25,4,5,5,1,4,1,3,1,2,1,0
21,4,1,2,1,5,1,5,1,5,5,5,2
0,27,3,5,5,5,2,0,1,2,5,0,2
20,6,1,2,2,3,1,5,1,5,4,4,2
8,28,3,5,5,1,5,1,3,1,1,1,0
14,25,3,2,2,2,2,3,3,2,2,2,1
1,25,4,5,4,2,4,1,3,2,2,1,0
18,1,2,1,1,5,2,5,1,4,4,5,2
0,28,3,4,4,1,4,1,3,2,2,1,0
14,30,1,3,5,0,3,0,0,1,4,5,2
3,25,4,4,4,2,5,1,3,1,1,1,0
16,10,1,2,2,4,1,5,1,5,4,4,2
15,8,1,2,1,5,2,5,1,5,4,4,2
2,10,2,1,2,1,2,4,0,4,5,1,0
19,3,1,1,1,3,2,5,1,4,5,5,2
2,25,3,5,5,2,5,1,3,2,1,1,0
14,17,3,3,3,2,3,3,3,2,2,3,1
2,30,3,5,4,1,5,1,3,1,1,1,0
7,15,4,1,0,5,2,3,1,4,0,1,0
21,3,1,2,1,5,1,4,1,5,4,5,2
13,24,3,3,2,3,2,2,3,2,3,2,1
8,26,4,4,5,2,5,1,3,2,2,1,0
10,24,3,3,3,2,2,2,2,3,2,3,1
15,1,1,1,2,4,1,4,1,4,5,5,2
19,13,2,1,2,5,2,4,1,4,4,4,2
19,14,5,4,1,5,2,2,0,2,5,2,2
17,2,1,1,1,3,1,4,1,5,5,5,2
9,21,3,3,2,2,3,2,2,3,2,2,1
18,8,1,5,1,2,2,1,1,4,3,2,0
13,17,3,2,2,2,3,3,2,2,2,3,1
8,30,3,4,5,2,4,1,3,2,1,1,0
19,6,2,1,1,3,1,4,1,4,4,5,2
10,16,3,2,2,2,3,2,2,3,2,3,1
19,1,1,1,2,4,2,4,1,4,5,4,2
19,12,3,3,5,5,4,4,1,0,5,0,0
13,6,3,5,1,1,1,5,1,0,5,5,0
4,30,4,4,4,2,4,1,3,1,2,1,0
11,21,2,3,3,3,3,2,2,3,2,3,1
20,10,2,1,2,4,1,5,1,4,5,5,2
21,13,1,2,1,4,2,5,1,4,5,4,2
16,1,2,2,1,5,1,5,1,5,4,5,2
3,28,4,5,5,1,5,1,3,1,2,1,0
18,10,1,2,2,5,2,4,1,4,5,5,2
18,12,0,1,4,2,3,4,0,0,0,0,2
12,24,3,2,2,3,2,3,3,3,2,2,1
10,24,2,2,2,0,3,4,1,1,1,2,2
9,16,3,2,2,3,3,2,2,2,2,3,1
5,25,3,5,4,2,5,1,3,1,2,1,0
11,23,3,3,3,2,2,3,3,2,3,3,1
8,6,5,0,3,2,3,4,0,4,3,4,0
17,28,3,4,5,4,0,4,0,3,1,5,1
8,28,3,5,5,2,5,1,3,1,2,1,0
13,16,2,3,3,2,3,3,3,3,2,2,1
16,8,1,2,1,4,2,5,1,5,4,4,2
13,16,3,2,3,2,3,3,2,3,2,3,1
21,28,4,4,2,4,2,0,0,5,0,5,1
12,19,2,2,2,3,2,2,2,3,3,2,1
14,25,2,2,2,3,2,3,3,2,3,3,1
14,21,2,2,2,3,2,3,3,2,2,3,1
6,20,5,0,4,0,0,0,1,4,2,2,2
18,5,3,5,3,4,2,5,1,1,1,2,2
14,18,3,2,3,2,3,3,3,2,2,3,1
12,25,5,4,0,3,1,1,1,3,5,0,2
5,27,3,5,4,1,4,1,3,2,1,1,0
3,28,4,5,4,2,5,1,3,2,1,1,0
13,24,2,2,3,3,3,3,3,2,3,3,1
15,12,1,5,5,3,2,5,1,1,4,0,2
6,26,3,4,4,1,4,1,3,2,2,1,0
18,10,1,2,1,5,2,4,1,4,5,4,2
11,22,2,2,3,2,3,3,2,3,3,2,1
21,4,1,2,2,4,2,4,1,4,4,5,2
12,21,2,2,2,2,2,3,2,3,3,3,1
8,30,4,5,4,2,4,1,3,1,1,1,0
10,21,2,2,3,3,3,2,3,2,2,2,1
9,22,3,2,2,2,2,2,2,3,2,3,1
20,3,1,2,1,4,1,5,1,4,5,5,2
11,16,2,3,3,2,3,3,3,2,3,3,1
1,25,4,5,5,2,5,1,3,1,2,1,0
15,10,1,2,1,5,1,4,1,5,4,5,2
17,2,1,2,1,4,2,4,1,4,5,4,2
8,30,3,4,5,2,4,1,3,2,1,1,0
20,4,2,1,1,5,2,5,1,5,5,4,2
8,7,3,2,2,0,2,4,0,5,2,0,0
5,26,4,5,4,2,5,1,3,2,1,1,0
14,16,2,3,2,3,2,3,2,2,3,3,1
10,20,3,3,3,3,2,3,3,2,3,2,1
18,0,1,2,2,5,2,5,1,5,4,4,2
21,19,4,0,3,3,3,2,0,3,1,5,1
4,27,3,4,4,2,4,1,3,2,2,1,0
12,16,1,1,2,4,4,0,1,2,3,0,2
14,21,3,2,3,3,2,2,2,2,3,2,1
7,13,0,0,1,5,4,2,0,2,5,5,2
19,25,1,1,1,3,0,2,0,2,2,5,0
18,28,5,4,1,5,3,5,0,0,0,5,2
10,15,3,3,3,3,2,2,2,2,3,2,1
11,22,0,3,0,3,1,1,0,1,4,1,2
15,7,2,1,1,5,1,4,1,4,4,5,2
5,27,4,4,4,2,5,1,3,2,2,1,0
14,16,3,2,3,3,3,3,2,3,2,3,1
2,30,0,3,0,0,1,5,1,2,3,1,0
3,9,1,3,2,1,0,4,1,3,1,1,2
14,23,3,3,3,3,3,3,2,3,2,3,1
1,26,4,4,5,2,5,1,3,2,1,1,0
12,22,3,3,3,3,3,3,3,2,3,3,1
10,20,2,2,3,2,2,2,3,2,3,3,1
14,19,3,3,3,3,2,2,2,3,2,3,1
12,17,2,2,2,2,2,2,2,2,2,3,1
7,26,4,5,4,1,4,1,3,1,1,1,0
3,25,4,4,5,1,4,1,3,1,1,1,0
12,17,3,2,2,3,3,3,3,2,3,2,1
13,17,2,3,2,3,3,2,2,3,3,3,1
0,27,4,5,4,1,4,1,3,1,2,1,0
9,17,3,3,3,2,3,3,2,2,3,2,1
3,26,4,5,4,1,4,1,3,2,2,1,0
9,24,3,3,3,2,3,3,2,2,2,3,1
14,23,2,3,2,3,2,3,2,2,2,2,1
8,29,3,5,4,2,4,1,3,2,1,1,0
0,28,3,5,4,2,4,1,3,2,1,1,0
15,30,0,2,5,2,2,4,0,5,4,1,1
16,13,1,2,1,4,2,4,1,4,4,4,2
3,30,4,5,4,1,5,1,3,2,1,1,0
8,4,0,4,4,0,2,1,0,1,5,1,2
14,25,2,3,2,3,2,2,3,2,2,2,1
16,14,1,1,1,3,1,4,1,4,5,4,2
18,15,2,1,1,3,2,5,1,4,4,5,2
15,6,2,1,1,5,1,4,1,4,5,4,2
21,9,2,1,1,3,2,4,1,5,5,5,2
13,23,2,3,3,3,2,2,2,2,3,3,1
16,4,2,1,3,2,2,0,1,5,3,4,2
17,5,2,2,1,3,2,5,1,5,4,5,2
14,16,2,2,3,2,2,2,2,2,2,3,1
15,6,4,4,1,4,2,1,0,0,2,2,0
20,11,1,5,0,0,4,4,1,3,1,2,0
8,30,3,4,4,1,4,1,3,1,1,1,0
1,26,4,5,4,1,5,1,3,1,1,1,0
6,25,3,5,5,1,4,1,3,2,1,1,0
21,10,3,0,2,5,0,5,0,2,2,1,1
1,25,3,5,5,2,5,1,3,1,2,1,0
15,11,2,1,2,3,1,5,1,5,5,4,2
8,29,4,4,5,1,4,1,3,2,1,1,0
10,21,2,3,3,2,3,3,3,3,2,3,1
4,27,3,4,5,1,5,1,3,1,1,1,0
18,7,2,2,2,4,1,5,1,4,4,4,2
18,8,1,2,2,5,1,4,1,5,5,5,2
6,25,4,4,4,2,5,1,3,2,2,1,0
1,28,4,4,5,1,5,1,3,1,2,1,0
3,27,4,4,4,2,5,1,3,1,1,1,0
14,25,3,2,2,3,3,3,2,3,3,3,1
9,21,3,3,2,3,2,2,3,2,3,2,1
18,12,2,1,1,3,1,4,1,4,5,5,2
8,28,4,4,4,2,4,1,3,1,2,1,0
3,9,3,0,4,0,4,2,1,2,1,0,1
13,16,2,2,2,3,2,2,3,2,3,2,1
7,22,5,2,2,5,3,4,0,1,4,4,2
12,25,3,3,3,3,2,3,2,2,2,3,1
14,23,2,3,2,3,3,3,2,2,2,3,1
17,2,1,2,2,4,1,5,1,5,4,4,2
0,27,3,4,5,1,4,1,3,2,2,1,0
18,13,2,1,1,3,2,4,1,4,5,4,2
12,19,2,3,2,2,3,3,3,2,2,3,1
13,21,3,3,2,2,2,2,3,2,2,2,1
11,20,2,2,3,3,2,2,2,2,3,2,1
15,3,2,2,1,4,2,5,1,5,4,4,2
9,20,2,2,2,3,3,2,3,2,2,3,1
2,25,4,4,5,1,5,1,3,2,1,1,0
19,13,2,2,2,3,2,5,1,5,5,5,2
19,9,1,2,2,3,2,4,1,4,4,4,2
17,12,1,2,2,4,1,5,1,5,5,5,2
10,25,2,2,3,3,2,2,3,2,3,3,1
6,27,4,5,4,2,4,1,3,1,2,1,0
4,25,4,4,5,2,4,1,3,2,2,1,0
20,0,2,1,1,3,2,5,1,5,4,5,2
9,23,2,3,3,3,3,2,3,3,3,2,1
21,11,1,2,2,4,2,4,1,5,4,5,2
11,20,3,2,3,3,3,2,3,3,2,3,1
2,27,4,5,4,1,5,1,3,1,1,1,0
10,23,3,3,3,3,2,2,2,2,2,3,1
15,3,2,2,1,4,2,4,1,5,5,4,2
17,15,2,2,2,5,1,5,1,5,4,4,2
19,13,2,1,2,5,2,5,1,4,5,4,2
12,0,5,2,0,1,4,0,1,4,1,1,2
17,1,2,2,2,3,2,5,1,5,4,4,2
20,6,1,2,2,4,2,4,1,5,4,4,2
20,10,1,2,2,4,1,4,1,4,4,5,2
10,24,2,2,2,2,2,3,3,3,2,3,1
18,11,2,1,2,5,2,5,1,4,4,5,2
19,13,2,2,1,3,1,4,1,5,5,5,2
18,6,1,1,1,5,2,5,1,4,5,5,2
1,27,3,4,5,1,4,1,3,1,1,1,0
10,25,3,3,3,3,3,3,3,3,2,2,1
21,12,2,2,1,3,1,4,1,4,4,4,2
15,6,2,2,1,3,2,5,1,5,5,4,2
3,27,4,5,4,1,5,1,3,2,2,1,0
6,29,4,4,4,2,4,1,3,2,1,1,0
21,5,1,1,1,3,1,5,1,4,4,4,2
18,14,1,1,2,3,1,5,1,5,5,4,2
6,30,3,4,5,1,4,1,3,2,1,1,0
17,9,1,2,1,3,1,5,1,4,4,5,2
4,28,3,5,5,2,5,1,3,1,1,1,0
9,24,2,2,3,2,2,2,2,3,2,3,1
16,14,1,2,2,3,1,4,1,5,4,4,2
10,20,2,2,2,3,2,3,3,2,2,3,1
4,29,3,4,5,2,5,1,3,2,2,1,0
11,20,3,2,3,2,3,2,3,2,3,3,1
13,25,2,2,2,3,3,2,2,3,2,2,1
17,2,2,2,1,3,2,5,1,4,4,4,2
7,25,4,4,5,1,5,1,3,2,1,1,0
21,1,2,1,1,3,1,5,1,5,4,4,2
1,26,4,4,5,2,4,1,3,2,2,1,0
20,11,2,1,2,3,1,5,1,4,4,4,2
6,25,4,5,5,1,4,1,3,1,2,1,0
10,21,3,3,3,2,2,2,2,3,2,2,1
17,24,4,0,5,5,3,2,0,3,1,1,2
18,2,2,2,2,5,2,4,1,4,5,4,2
7,26,3,5,5,2,4,1,3,2,1,1,0
10,20,3,3,2,2,3,3,3,2,3,3,1
17,10,1,1,1,5,2,4,1,5,5,4,2
19,2,2,2,2,3,1,4,1,4,5,4,2
9,29,0,4,5,5,1,3,1,5,4,0,0
19,10,1,1,1,4,1,4,1,4,4,5,2
21,3,2,2,1,4,2,5,1,5,5,5,2
8,28,4,4,5,1,4,1,3,1,1,1,0
21,8,2,2,2,5,2,5,1,5,5,4,2
2,30,5,3,4,0,4,2,1,2,5,3,0
9,23,2,3,3,3,2,2,3,2,2,2,1
9,17,3,3,3,2,2,2,2,2,2,2,1
3,5,2,0,2,4,2,1,1,2,3,4,2
17,14,2,2,1,3,2,4,1,4,5,5,2
0,25,4,5,5,2,4,1,3,1,1,1,0
9,23,2,2,2,2,2,3,2,2,3,3,1
15,1,1,2,1,3,1,5,1,5,4,4,2
6,27,3,5,5,2,5,1,3,2,2,1,0
5,29,4,4,4,2,4,1,3,1,1,1,0
0,25,4,5,4,1,4,1,3,2,2,1,0
13,25,3,3,3,2,2,3,3,3,2,2,1
9,19,3,3,2,2,2,3,2,2,3,3,1
5,20,3,0,4,3,0,3,0,5,2,4,1
19,3,3,2,0,5,2,5,1,4,3,5,1
6,25,4,5,4,1,4,1,3,2,1,1,0
14,17,5,2,5,5,2,0,1,3,4,4,1
10,16,3,3,2,2,2,3,3,2,2,3,1
2,26,3,5,4,2,5,1,3,1,1,1,0
12,21,3,2,3,2,3,3,3,3,2,3,1
19,11,2,1,2,3,2,5,1,4,4,4,2
14,25,2,2,3,3,2,2,3,3,3,3,1
1,7,2,3,0,4,4,0,0,2,0,4,2
0,25,3,5,4,1,5,1,3,2,2,1,0
21,8,3,2,5,1,4,4,0,3,4,2,0
21,30,1,3,4,3,3,3,1,3,3,1,0
10,23,2,3,2,2,3,2,3,2,2,3,1
3,29,4,5,4,2,5,1,3,1,2,1,0
8,27,4,5,4,1,4,1,3,2,1,1,0
5,26,3,4,4,1,4,1,3,2,1,1,0
19,0,2,1,2,5,2,5,1,4,4,4,2
5,30,3,4,5,1,4,1,3,1,1,1,0
21,3,4,0,3,2,4,1,1,1,3,2,2
17,5,1,2,1,4,1,4,1,5,4,4,2
9,29,4,1,4,1,0,3,1,3,4,0,0
5,27,3,4,5,1,4,1,3,1,1,1,0
21,1,1,1,1,4,2,4,1,4,5,5,2
19,27,5,5,0,1,2,1,0,4,3,4,1
12,22,3,3,2,3,2,3,2,2,2,3,1
17,10,2,1,1,4,1,5,1,4,5,5,2
16,1,2,2,1,4,1,5,1,4,5,4,2
6,26,4,5,5,1,5,1,3,2,1,1,0
14,23,2,3,3,2,2,2,2,3,3,2,1
18,5,1,2,2,4,1,5,1,4,4,5,2
1,28,3,4,4,1,5,1,3,2,1,1,0
19,12,2,1,2,4,2,5,1,5,5,5,2
3,17,3,2,0,1,4,0,1,1,2,2,0
7,25,4,5,5,1,5,1,3,2,1,1,0
5,9,0,2,0,0,2,5,0,3,4,0,1
10,25,2,3,2,2,2,2,2,3,2,3,1
20,10,1,2,2,4,2,5,1,5,5,4,2
5,23,0,3,2,5,4,2,1,3,2,3,2
21,15,1,2,2,5,1,4,1,5,4,5,2
6,13,4,5,3,2,1,2,1,0,5,2,0
10,24,2,3,2,3,3,2,2,2,2,2,1
15,1,2,2,1,4,2,5,1,5,4,5,2
12,20,2,3,2,3,2,3,2,2,3,2,1
10,19,3,3,3,2,3,2,3,2,2,2,1
11,8,2,4,3,1,0,2,0,5,1,2,2
20,19,1,3,1,2,0,4,1,4,5,1,0
1,27,4,5,5,1,5,1,3,1,2,1,0
7,30,3,4,4,2,5,1,3,2,2,1,0
3,29,4,4,5,1,5,1,3,2,1,1,0
14,12,2,2,2,0,2,4,1,1,0,3,2
12,5,5,3,5,2,0,2,0,4,3,5,1
20,11,2,1,1,4,1,4,1,5,4,5,2
8,6,4,0,4,4,0,3,1,4,0,2,0
2,27,4,4,4,1,5,1,3,2,1,1,0
12,17,2,2,3,2,3,2,2,2,3,2,1
10,15,3,3,3,3,2,2,2,3,2,2,1
16,12,1,2,2,5,2,5,1,5,5,5,2
15,12,2,2,1,3,2,4,1,5,4,5,2
6,30,4,5,5,2,4,1,3,2,2,1,0
1,28,4,4,4,1,4,1,3,2,1,1,0
1,26,3,4,5,1,5,1,3,1,2,1,0
16,3,2,2,1,4,2,4,1,4,5,5,2
11,23,5,1,3,3,1,2,0,4,0,0,2
21,14,1,1,1,3,2,5,1,5,4,4,2
